mc	mn	playthrough	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
37	37	236	3	3/4	3/4	0											38
38	38	237	3	3/4	3/4	0											39
39	39	238	3	3/4	3/4	0											40
40	40	239	3	3/4	3/4	0											41
41	41	240	3	3/4	3/4	0											42
42	42	241	3	3/4	3/4	0											43
43	43	242	3	3/4	3/4	0											44
44	44	243	3	3/4	3/4	0											45
45	45	244	3	3/4	3/4	0											46
46	46	245	3	3/4	3/4	0											47
47	47	246	3	3/4	3/4	0											48
48	48	247	3	3/4	3/4	0				end-repeat		end	fine				19, 49, -1
